index	speaker	text	sentiment	sentiment val	movingave(5eachside)	movingave (10 sentence)	movingave
714	None	The rest of the children were still collapsed.	  Positive	1	-0.090909	-0.33333	-0.078307341
715	None	"After a while some of the others began to come around, their bodies undulating like so many big worms."	  Neutral	0	-0.18182	-0.33333	-0.078307341
716	None	It was a very strange sight.	  Neutral	0	-0.18182	-0.2381	0.016922659
717	None	"The children had collapsed in an odd, flat, open space in the woods where it looked like all the trees had been neatly removed, with autumn sunlight shining down brightly."	  Negative	-1	-0.27273	-0.2381	0.016922659
718	None	"And here you had, in this spot or at the edges of it, sixteen elementary-school kids scattered about prostrate on the ground, some of them starting to move, some of them completely still."	  Neutral	0	-0.45455	-0.2381	0.016922659
719	None	The whole thing reminded me of some weird avant-garde play.	  Neutral	0	-0.45455	-0.2381	0.016922659
720	None	"For a moment I forgot that I was supposed to treat the kids and just stood there, frozen, staring at the scene."	  Negative	-1	-0.45455	-0.2381	0.016922659
721	None	"Not just myself--everyone in the rescue group reacted the same, paralyzed for a while by what they saw."	  Negative	-1	-0.36364	-0.19048	0.064542659
722	None	"This might be a strange way of putting it, perhaps, but it was like some mistake had occurred that allowed us to see a sight people should never see."	  Negative	-1	-0.45455	-0.19048	0.064542659
723	None	"It was wartime, and I was always mentally prepared, as a physician, to deal with whatever came, in the remote possibility that something awful would occur way out here in the country."	  Very negative	-2	-0.36364	-0.19048	0.064542659
724	None	Prepared as a citizen of Japan to calmly do my duty if the need arose.	  Neutral	0	-0.36364	-0.19048	0.064542659
725	None	But when I saw this scene in the woods I literally froze.	  Positive	1	-0.36364	-0.2381	0.016922659
726	None	"I soon snapped out of it, and picked up one of the children, a little girl."	  Positive	1	-0.27273	-0.28571	-0.030687341
727	None	Her body had no strength in it at all and was limp as a rag doll.	  Negative	-1	-0.18182	-0.28571	-0.030687341
728	None	Her breathing was steady but she was still unconscious.	  Neutral	0	-0.090909	-0.2381	0.016922659
729	None	"Her eyes, though, were open, tracking something back and forth."	  Neutral	0	0.090909	-0.28571	-0.030687341
730	None	I pulled a small flashlight out of my bag and shined it on her pupils.	  Neutral	0	0.090909	-0.28571	-0.030687341
731	None	Completely unreactive.	  Neutral	0	-0.090909	-0.2381	0.016922659
732	None	"Her eyes were functioning, watching something, yet showed no response to light."	  Neutral	0	-0.18182	-0.2381	0.016922659
733	None	"I picked up several other children and examined them and they were all exactly the same, unresponsive."	  Neutral	0	-0.090909	-0.19048	0.064542659
734	None	I found this quite odd.	  Neutral	0	-0.18182	-0.095238	0.159784659
735	None	I next checked their pulse and temperature.	  Neutral	0	-0.18182	-0.095238	0.159784659
736	None	"Their pulses were between 50 and 55, and all of them had temperatures just below 97 degrees."	  Negative	-1	-0.18182	-0.14286	0.112162659
737	None	"Somewhere around 96 degrees or thereabouts, as I recall."	  Neutral	0	-0.27273	-0.2381	0.016922659
738	None	"That's correct--for children of that age this pulse rate is well below normal, the body temperature over one degree below average."	  Neutral	0	-0.27273	-0.19048	0.064542659
739	None	"I smelled their breath, but there was nothing out of the ordinary."	  Negative	-1	-0.27273	-0.19048	0.064542659
740	None	Likewise with their throats and tongues.	  Neutral	0	-0.27273	-0.2381	0.016922659
741	None	I immediately ascertained these weren't the symptoms of food poisoning.	  Neutral	0	-0.27273	-0.2381	0.016922659
742	None	"Nobody had vomited or suffered diarrhea, and none of them seemed to be in any pain."	  Negative	-1	-0.27273	-0.2381	0.016922659
743	None	If the children had eaten something bad you could expect--with this much time having elapsed--the onset of at least one of these symptoms.	  Neutral	0	-0.27273	-0.2381	0.016922659
744	None	I heaved a sigh of relief that it wasn't food poisoning.	  Neutral	0	-0.27273	-0.2381	0.016922659
745	None	"But then I was stumped, since I hadn't a clue what was wrong with them."	  Neutral	0	-0.27273	-0.28571	-0.030687341
746	None	The symptoms were similar to sunstroke.	  Neutral	0	-0.27273	-0.33333	-0.078307341
747	None	Kids often collapse from this in the summer.	  Negative	-1	-0.27273	-0.33333	-0.078307341
748	None	"It's like it's contagious--once one of them collapses their friends all do the same, one after the other."	  Neutral	0	-0.18182	-0.38095	-0.125927341
749	None	"But this was November, in a cool woods, no less."	  Neutral	0	-0.18182	-0.47619	-0.221167341
750	None	"One or two getting sunstroke is one thing, but sixteen children simultaneously coming down with it was out of the question."	  Negative	-1	-0.27273	-0.47619	-0.221167341
751	None	"My next thought was some kind of poison gas or nerve gas, either naturally occurring or man-made."	  Neutral	0	-0.36364	-0.52381	-0.268787341
752	None	But how in the world could gas appear in the middle of the woods in such a remote part of the country?	  Neutral	0	-0.45455	-0.52381	-0.268787341
753	None	I couldn't account for it.	  Neutral	0	-0.45455	-0.47619	-0.221167341
754	None	"Poison gas, though, would logically explain what I saw that day."	  Neutral	0	-0.63636	-0.52381	-0.268787341
755	None	"Everyone breathed it in, went unconscious, and collapsed on the spot."	  Negative	-1	-0.72727	-0.52381	-0.268787341
756	None	The homeroom teacher didn't collapse because the concentration of gas wasn't strong enough to affect an adult.	  Negative	-1	-0.72727	-0.47619	-0.221167341
757	None	"But when it came to treating the children, I was totally lost."	  Negative	-1	-0.72727	-0.47619	-0.221167341
758	None	"I'm just a simple country doctor and have no special expertise in poison gasses, so I was out of my league."	  Negative	-1	-0.72727	-0.42857	-0.173547341
759	None	We were out in this remote town and I couldn't very well ring up a specialist.	  Very negative	-2	-0.81818	-0.38095	-0.125927341
760	None	"Very gradually, in fact, some of the children were getting better, and I figured that perhaps with time they would all regain consciousness."	  Negative	-1	-0.81818	-0.38095	-0.125927341
761	None	"I know it's an overly optimistic view, but at the time I couldn't think of anything else to do."	  Negative	-1	-0.63636	-0.33333	-0.078307341
762	None	So I suggested that we just let them lie there quietly for a while and see what developed.	  Neutral	0	-0.54545	-0.33333	-0.078307341
763	None	#NAME?	  Neutral	0	-0.45455	-0.33333	-0.078307341
764	None	"I was concerned about that myself, so I took several deep breaths to see if I could detect any unusual odor."	  Negative	-1	-0.27273	-0.38095	-0.125927341
765	None	But it was just the ordinary smell of a woods in the hills.	  Neutral	0	-0.090909	-0.38095	-0.125927341
766	None	"It was a bracing scent, the fragrance of trees."	  Positive	1	0	-0.28571	-0.030687341
767	None	"Nothing unusual about the plants and flowers around there, either."	  Neutral	0	0.090909	-0.25	0.005022659
768	None	Nothing had changed shape or been discolored.	  Neutral	0	0.090909	-0.25	0.005022659
769	None	One by one I examined the mushrooms the children had been picking.	  Positive	1	0	-0.2	0.055022659
770	None	"There weren't all that many, which led me to conclude that they'd collapsed not long after they began picking them."	  Neutral	0	0.090909	-0.1	0.155022659
771	None	All of them were typical edible mushrooms.	  Neutral	0	0.18182	-0.1	0.155022659
772	None	I've been a doctor here for some time and am quite familiar with the different varieties.	  Neutral	0	0.1	-0.1	0.155022659
773	None	Of course to be on the safe side I collected them all and took them back and had a specialist examine them.	  Neutral	0	0	-0.1	0.155022659
774	None	"But as far as I could tell, they were all ordinary, edible mushrooms."	  Negative	-1	0	-0.05	0.205022659
775	None	"--You said the unconscious children's eyes moved back and forth, but did you notice any other unusual symptoms or reactions?"	  Neutral	0	-0.1	0	0.255022659
776	None	"For instance, the size of their pupils, the color of the whites of their eyes, the frequency of their blinking?"	  Positive	1	-0.2	0	0.255022659
777	None	No.		NaN	-0.3	-0.05	0.205022659
778	None	"Other than their eyes moving back and forth like a searchlight, there was nothing out of the ordinary."	  Negative	-1	-0.3	-0.1	0.155022659
779	None	All other functions were completely normal.	  Neutral	0	-0.2	-0.1	0.155022659
780	None	The children were looking at something.	  Neutral	0	-0.1	-0.2	0.055022659
781	None	"To put a finer point on it, the children weren't looking at what we could see, but something we couldn't."	  Negative	-1	-0.1	-0.2	0.055022659
782	None	It was more like they were observing something rather than just looking at it.	  Negative	-1	-0.2	-0.25	0.005022659
783	None	"They were essentially expressionless, but overall they seemed calm, not afraid or in any pain."	  Neutral	0	-0.27273	-0.25	0.005022659
784	None	That's also one of the reasons I decided to just let them lie there and see how things played out.	  Positive	1	-0.18182	-0.3	-0.044977341
785	None	"I decided if they're not in any pain, then just let them be for a while."	  Neutral	0	-0.27273	-0.3	-0.044977341
786	None	#NAME?	  Neutral	0	-0.27273	-0.3	-0.044977341
787	None	"Yes, they did."	  Neutral	0	-0.27273	-0.35	-0.094977341
788	None	But like me they couldn't figure out how it was possible.	  Negative	-1	-0.18182	-0.38095	-0.125927341
789	None	"I mean, no one had ever heard of somebody going on a hike in the woods and ending up getting gassed."	  Neutral	0	-0.27273	-0.33333	-0.078307341
790	None	"Then one of the people there--the assistant principal, I believe it was--said it might have been gas dropped by the Americans."	  Negative	-1	-0.45455	-0.33333	-0.078307341
791	None	"They must have dropped a bomb with poison gas, he said."	  Neutral	0	-0.45455	-0.38095	-0.125927341
792	None	"The homeroom teacher recalled seeing what looked like a B-29 in the sky just before they started up the hill, flying right overhead."	  Negative	-1	-0.45455	-0.38095	-0.125927341
793	None	That's it!	  Neutral	0	-0.54545	-0.33333	-0.078307341
794	None	"everyone said, some new poison gas bomb the Americans developed."	  Negative	-1	-0.45455	-0.33333	-0.078307341
795	None	Rumors about the Americans developing a new kind of bomb had even reached our neck of the woods.	  Negative	-1	-0.45455	-0.38095	-0.125927341
796	None	But why would the Americans drop their newest weapon in such an out-of-the-way place?	  Neutral	0	-0.45455	-0.38095	-0.125927341
797	None	That we couldn't explain.	  Neutral	0	-0.54545	-0.42857	-0.173547341
798	None	"But mistakes are part of life, and some things we aren't meant to understand, I suppose."	  Negative	-1	-0.45455	-0.47619	-0.221167341
799	None	#NAME?	  Neutral	0	-0.45455	-0.42857	-0.173547341
800	None	They did.	  Neutral	0	-0.36364	-0.47619	-0.221167341
801	None	I can't tell you how relieved I was.	  Negative	-1	-0.27273	-0.42857	-0.173547341
802	None	"At first they started squirming around, then they sat up unsteadily, gradually regaining consciousness."	  Negative	-1	-0.36364	-0.47619	-0.221167341
803	None	No one complained of any pain during this process.	  Neutral	0	-0.45455	-0.42857	-0.173547341
804	None	"It was all very quiet, like they were waking up from a deep sleep."	  Neutral	0	-0.36364	-0.42857	-0.173547341
805	None	And as they regained consciousness their eye movements became normal again.	  Neutral	0	-0.45455	-0.42857	-0.173547341
806	None	They showed normal reactions to light when I shined a flashlight in their eyes.	  Neutral	0	-0.45455	-0.33333	-0.078307341
807	None	"It took some time, though, for them to be able to speak again--just like you are when you first wake up."	  Negative	-1	-0.45455	-0.33333	-0.078307341
808	None	"We asked each of the children what had happened, but they looked dumbfounded, like we were asking about something they didn't remember taking place."	  Negative	-1	-0.36364	-0.33333	-0.078307341
809	None	"Going up the hill, starting to gather mushrooms--that much they recalled."	  Neutral	0	-0.36364	-0.28571	-0.030687341
810	None	Everything after that was a total blank.	  Negative	-1	-0.45455	-0.28571	-0.030687341
811	None	They had no sense of any time passing between then and now.	  Neutral	0	-0.36364	-0.28571	-0.030687341
812	None	"They start gathering mushrooms, then the curtain falls, and here they are lying on the ground, surrounded by all these adults."	  Negative	-1	-0.36364	-0.2381	0.016922659
813	None	"The children couldn't figure out why we were all upset, staring at them with these worried looks on our faces."	  Neutral	0	-0.27273	-0.19048	0.064542659
814	None	They seemed more afraid of us than anything else.	  Neutral	0	-0.18182	-0.2381	0.016922659
815	None	"Sadly, there was one child, a boy, who didn't regain consciousness."	  Negative	-1	-0.18182	-0.2381	0.016922659
816	None	One of the children evacuated from Tokyo.	  Positive	1	-0.090909	-0.19048	0.064542659
817	Satoru Nakata	"Satoru Nakata, I believe his name was."	  Neutral	0	-0.090909	-0.2381	0.016922659
818	None	"A small, pale little boy."	  Neutral	0	0	-0.2381	0.016922659
819	None	He was the only one who remained unconscious.	  Neutral	0	-0.090909	-0.19048	0.064542659
820	None	"He just lay there on the ground, his eyes moving back and forth."	  Neutral	0	-0.090909	-0.19048	0.064542659
821	None	We had to carry him back down the hill.	  Neutral	0	0.090909	-0.14286	0.112162659
822	None	The other children walked back down like nothing had happened.	  Neutral	0	-0.090909	-0.19048	0.064542659
823	Satoru Nakata	#NAME?	  Neutral	0	-0.18182	-0.19048	0.064542659
824	None	"As far as any outward signs at least, no, they displayed no unusual symptoms."	  Negative	-1	-0.18182	-0.19048	0.064542659
825	None	No one complained of pain or discomfort.	  Neutral	0	-0.18182	-0.19048	0.064542659
826	None	"As soon as we got back to the school I brought the children into the nurse's room one by one and examined them--took their temperature, listened to their heart with a stethoscope, checked their vision."	  Positive	1	-0.18182	-0.14286	0.112162659
827	None	Whatever I was able to do at the time I did.	  Negative	-1	-0.27273	-0.19048	0.064542659
828	None	"I had them solve some simple arithmetic problems, stand on one foot with their eyes closed, things like that."	  Negative	-1	-0.36364	-0.19048	0.064542659
829	None	Physically they were fine.	  Neutral	0	-0.36364	-0.2381	0.016922659
830	None	They didn't seem tired and had healthy appetites.	  Neutral	0	-0.27273	-0.28571	-0.030687341
831	None	They'd missed lunch so they all said they were hungry.	  Neutral	0	-0.27273	-0.28571	-0.030687341
832	None	"We gave them rice balls to eat, and they gobbled them up."	  Negative	-1	-0.36364	-0.33333	-0.078307341
833	None	A few days later I stopped by the school to observe how the children were doing.	  Negative	-1	-0.27273	-0.33333	-0.078307341
834	None	I called a few of them into the nurse's room and questioned them.	  Neutral	0	-0.27273	-0.33333	-0.078307341
835	None	"Again, though, everything seemed fine."	  Neutral	0	-0.36364	-0.28571	-0.030687341
836	None	"No traces remained, physically or emotionally, from their strange experience."	  Neutral	0	-0.36364	-0.28571	-0.030687341
837	None	They couldn't even remember that it had happened.	  Neutral	0	-0.45455	-0.38095	-0.125927341
838	None	"Their lives were completely back to normal, unaffected by the incident."	  Neutral	0	-0.36364	-0.33333	-0.078307341
839	None	"They attended class as usual, sang songs, played outside during recess, everything normal kids did."	  Negative	-1	-0.27273	-0.33333	-0.078307341
840	None	"Their homeroom teacher, however, was a different story: she still seemed in shock."	  Negative	-1	-0.27273	-0.38095	-0.125927341
841	Satoru Nakata	"But that one boy, Nakata, didn't regain consciousness, so the following day he was taken to the university hospital in Kofu."	  Neutral	0	-0.27273	-0.42857	-0.173547341
842	None	"After that he was transferred to a military hospital, and never came back to our town again."	  Negative	-1	-0.36364	-0.47619	-0.221167341
843	None	I never heard what became of him.	  Neutral	0	-0.36364	-0.42857	-0.173547341
844	None	This incident never made the newspapers.	  Neutral	0	-0.45455	-0.33333	-0.078307341
845	None	"My guess is the authorities decided it would only cause unrest, so they banned any mention of it."	  Neutral	0	-0.45455	-0.33333	-0.078307341
846	None	You have to remember that during the war the military tried to squelch whatever they saw as groundless rumors.	  Neutral	0	-0.45455	-0.38095	-0.125927341
847	None	"The war wasn't going well, with the military retreating on the southern front, suicide attacks one after the other, air raids on cities getting worse all the time."	  Negative	-1	-0.54545	-0.42857	-0.173547341
848	None	The military was especially afraid of any antiwar or pacifist sentiment cropping up among the populace.	  Neutral	0	-0.45455	-0.47619	-0.221167341
849	None	A few days after the incident the police came calling and warned us that under no circumstances were we to talk about what we'd seen.	  Negative	-1	-0.36364	-0.42857	-0.173547341
850	None	"The whole thing was an odd, unpleasant affair."	  Negative	-1	-0.36364	-0.38095	-0.125927341
851	None	Even to this day it's like a weight pressing down on me.	  Negative	-1	-0.45455	-0.33333	-0.078307341
852	None	 5 I'm asleep when our bus drives across the huge new bridge over the Inland Sea.	  Negative	-1	-0.54545	-0.33333	-0.078307341
853	None	I'd seen the bridge only on maps and had been looking forward to seeing it for real.	  Neutral	0	-0.54545	-0.33333	-0.078307341
854	None	Somebody gently taps me on the shoulder and I wake up.	  Positive	1	-0.45455	-0.38095	-0.125927341
855	None	"Hey, we're here, the girl says."	  Neutral	0	-0.36364	-0.38095	-0.125927341
856	None	"I stretch, rub my eyes with the back of my hand, and look out the window."	  Negative	-1	-0.27273	-0.42857	-0.173547341
857	None	"Sure enough, the bus is just pulling into what looks like the square in front of a station."	  Negative	-1	-0.18182	-0.42857	-0.173547341
858	None	Fresh morning sunlight lights up the scene.	  Negative	-1	-0.18182	-0.42857	-0.173547341
859	None	"Almost blinding, but gentle somehow, the light is different from what I was used to in Tokyo."	  Positive	1	-0.27273	-0.42857	-0.173547341
860	None	I glance at my watch .6:32.	  Neutral	0	-0.36364	-0.38095	-0.125927341
861	None	"Gosh, what a long trip, she says tiredly."	  Neutral	0	-0.45455	-0.33333	-0.078307341
862	None	I thought my lower back was going to give out.	  Neutral	0	-0.36364	-0.28571	-0.030687341
863	None	And my neck's killing me.	  Negative	-1	-0.36364	-0.2381	0.016922659
864	None	You aren't going to catch me on an all-night bus again.	  Negative	-1	-0.27273	-0.2381	0.016922659
865	None	"I'm taking the plane from now on, even if it's more expensive."	  Neutral	0	-0.36364	-0.2381	0.016922659
866	None	"Turbulence, hijackings--I don't care."	  Negative	-1	-0.36364	-0.2381	0.016922659
867	None	Give me a plane any day.	  Neutral	0	-0.36364	-0.19048	0.064542659
868	None	 I lower her suitcase and my backpack from the overhead rack.	  Negative	-1	-0.36364	-0.14286	0.112162659
869	None	What's your name?	  Neutral	0	-0.27273	-0.095238	0.159784659
870	None	 I ask.	  Neutral	0	-0.090909	-0.14286	0.112162659
871	None	My name?	  Neutral	0	-0.090909	-0.19048	0.064542659
872	None	 Yeah.	  Neutral	0	0	-0.19048	0.064542659
873	Sakura	" Sakura,"" she says."	  Neutral	0	0	-0.14286	0.112162659
874	None	What about you?	  Neutral	0	0.090909	-0.14286	0.112162659
875	Kafka Tamura	" Kafka Tamura,"" I reply."	  Positive	1	0.090909	-0.095238	0.159784659
876	Kafka Tamura	"Kafka Tamura, she muses."	  Neutral	0	0	-0.095238	0.159784659
877	None	Weird name.	  Neutral	0	0	-0.047619	0.207403659
878	None	"Easy to remember, though."	  Neutral	0	0.090909	-0.047619	0.207403659
879	None	 I nod.	  Neutral	0	0	0.047619	0.302641659
880	None	"Becoming a different person might be hard, but taking on a different name is a cinch."	  Neutral	0	0	0.047619	0.302641659
881	None	"She gets off the bus, sets her suitcase on the ground, and plunks herself down on top, then pulls a notebook from a pocket in her small backpack, scribbles down something, rips the page out, and hands it to me."	  Negative	-1	-0.090909	0.095238	0.350260659
882	None	"A phone number, by the looks of it."	  Neutral	0	-0.090909	0.047619	0.302641659
883	None	"My cell phone number, she says with a wry expression."	  Positive	1	-0.090909	0.047619	0.302641659
884	None	"I'm staying at my friend's place for a while, but if you ever feel like seeing somebody, give me a call."	  Negative	-1	0	0.047619	0.302641659
885	None	We can go out for a bite or whatever.	  Neutral	0	0	0	0.255022659
886	None	"Don't be a stranger, okay?"	  Neutral	0	0.090909	-0.047619	0.207403659
887	None	'Even chance meetings'... how does the rest of that go?	  Neutral	0	0.090909	0	0.255022659
888	None	 'Are the result of karma.	  Neutral	0	0.090909	0	0.255022659
889	None	"'"" ""Right, right,"" she says."	  Positive	1	0	0	0.255022659
890	None	But what does it mean?	  Neutral	0	0	-0.047619	0.207403659
891	None	 That things in life are fated by our previous lives.	  Positive	1	0	-0.047619	0.207403659
892	None	That even in the smallest events there's no such thing as coincidence.	  Negative	-1	0.090909	-0.047619	0.207403659
893	None	" She sits there on her yellow suitcase, notebook in hand, giving it some thought."	  Neutral	0	0.090909	-0.047619	0.207403659
894	None	"Hmm... that's a kind of philosophy, isn't it."	  Neutral	0	0.090909	-0.095238	0.159784659
895	None	Not such a bad way of thinking about life.	  Negative	-1	-0.090909	-0.047619	0.207403659
896	None	"Sort of a reincarnation, New Age kind of thing."	  Neutral	0	-0.090909	-0.047619	0.207403659
897	Kafka Tamura	"But, Kafka, remember this, okay?"	  Positive	1	-0.27273	-0.095238	0.159784659
898	None	I don't go around giving my cell phone number to just anybody.	  Neutral	0	-0.18182	-0.095238	0.159784659
899	None	You know what I mean?	  Neutral	0	-0.18182	-0.14286	0.112162659
900	None	" I appreciate it, I tell her."	  Negative	-1	-0.18182	-0.19048	0.064542659
901	None	I fold up the piece of paper and stick it in the pocket of my windbreaker.	  Neutral	0	-0.090909	-0.2381	0.016922659
902	None	"Thinking better of it, I transfer it to my wallet."	  Negative	-1	-0.18182	-0.28571	-0.030687341
903	None	So how long'll you be in Takamatsu?	  Neutral	0	-0.27273	-0.2381	0.016922659
904	Sakura	 Sakura asks.	  Neutral	0	-0.36364	-0.2381	0.016922659
905	None	"I don't know yet, I say."	  Neutral	0	-0.36364	-0.19048	0.064542659
906	None	It depends on how things go.	  Neutral	0	-0.36364	-0.14286	0.112162659
907	None	" She gazes intently at me, her head tilted slightly to one side."	  Negative	-1	-0.36364	-0.19048	0.064542659
908	None	"Okay, whatever, she might be thinking."	  Neutral	0	-0.27273	-0.2381	0.016922659
909	None	"She climbs into a cab, gives a little wave, and takes off."	  Negative	-1	-0.27273	-0.2381	0.016922659
910	None	Once again I'm all alone.	  Neutral	0	-0.18182	-0.2381	0.016922659
911	Sakura	"Sakura, I think--not my sister's name."	  Negative	-1	-0.18182	-0.14286	0.112162659
912	None	But names are changed easily enough.	  Neutral	0	-0.27273	-0.19048	0.064542659
913	None	Especially when you're trying to try to run away from somebody.	  Neutral	0	-0.18182	-0.14286	0.112162659
914	None	I have a reservation at a business hotel in Takamatsu.	  Neutral	0	-0.18182	-0.2381	0.016922659
915	None	"The YMCA in Tokyo had told me about the place, and through them I got a discount on the room."	  Positive	1	-0.090909	-0.2381	0.016922659
916	None	"But that's only for the first three days, then it goes back to the normal room rate."	  Neutral	0	0	-0.19048	0.064542659
917	None	"If I really wanted to save money, I could just sack out on a bench in front of the station, or since it's still warm out, I could sleep in my sleeping bag in a park somewhere."	  Negative	-1	0	-0.19048	0.064542659
918	None	But then the cops will come and card me--the one thing I have to avoid at all costs.	  Neutral	0	0	-0.19048	0.064542659
919	None	"That's why I went for the hotel reservation, at least for three days."	  Neutral	0	-0.18182	-0.2381	0.016922659
920	None	After that I'll figure something out.	  Neutral	0	-0.18182	-0.19048	0.064542659
921	None	"At the station I pop into the first little diner that catches my eye, and eat my fill of udon."	  Positive	1	-0.18182	-0.2381	0.016922659
922	None	"Born and raised in Tokyo, I haven't had much udon in my life."	  Negative	-1	-0.18182	-0.2381	0.016922659
923	None	But now I'm in Udon Central--Shikoku--and confronted with noodles like nothing I've ever seen.	  Neutral	0	-0.18182	-0.2381	0.016922659
924	None	"They're chewy and fresh, and the soup smells great, really fragrant."	  Very negative	-2	-0.27273	-0.19048	0.064542659
925	None	And talk about cheap.	  Neutral	0	-0.27273	-0.19048	0.064542659
926	None	"It all tastes so good I order seconds, and for the first time in who knows how long, I'm happily stuffed."	  Positive	1	-0.36364	-0.28571	-0.030687341
927	None	Afterward I plop myself down on a bench in the plaza next to the station and gaze up at the sunny sky.	  Neutral	0	-0.54545	-0.28571	-0.030687341
928	None	"I'm free, I remind myself."	  Negative	-1	-0.45455	-0.2381	0.016922659
929	None	"Like the clouds floating across the sky, I'm all by myself, totally free."	  Negative	-1	-0.36364	-0.28571	-0.030687341
930	None	I decide to kill time till evening at a library.	  Neutral	0	-0.18182	-0.2381	0.016922659
931	None	"Ever since I was little I've loved to spend time in the reading rooms of libraries, so I've come to Takamatsu armed with info on all the libraries in and around the city."	  Negative	-1	-0.27273	-0.19048	0.064542659
932	None	Think about it--a little kid who doesn't want to go home doesn't have many places he can go.	  Negative	-1	-0.36364	-0.2381	0.016922659
933	None	Coffee shops and movie theaters are offlimits.	  Neutral	0	-0.36364	-0.19048	0.064542659
934	None	"That leaves only libraries, and they're perfect--no entrance fee, nobody getting all hot and bothered if a kid comes in."	  Positive	1	-0.36364	-0.19048	0.064542659
935	None	You just sit down and read whatever you want.	  Neutral	0	-0.18182	-0.047619	0.207403659
936	None	I always rode my bike to the local public library after school.	  Negative	-1	-0.090909	-0.047619	0.207403659
937	None	Even on holidays that's where you'd find me.	  Neutral	0	0	-0.095238	0.159784659
938	None	"I'd devour anything and everything--novels, biographies, histories, whatever was lying around."	  Neutral	0	0.090909	-0.14286	0.112162659
939	None	"Once I'd gone through all the children's books, I went on to the general stacks and books for adults."	  Negative	-1	0.090909	-0.14286	0.112162659
940	None	"I might not always get much out of them, but I forged on to the very last page."	  Positive	1	0.090909	-0.19048	0.064542659
941	None	When I got tired of reading I'd go into one of those listening booths with headphones and enjoy some music.	  Positive	1	0.090909	-0.19048	0.064542659
942	None	"I had no idea about music so I just went down the row of CDs they had there, giving them all a listen."	  Neutral	0	0.18182	-0.14286	0.112162659
943	None	"That's how I got to know about Duke Ellington, the Beatles, and Led Zeppelin."	  Neutral	0	0.090909	0	0.255022659
944	None	The library was like a second home.	  Neutral	0	0	0	0.255022659
945	None	"Or maybe more like a real home, more than the place I lived in."	  Positive	1	-0.090909	-0.047619	0.207403659
946	None	By going every day I got to know all the lady librarians who worked there.	  Neutral	0	-0.18182	-0.047619	0.207403659
947	None	They knew my name and always said hi.	  Neutral	0	-0.27273	0	0.255022659
948	None	"I was painfully shy, though, and could barely reply."	  Negative	-1	-0.090909	-0.047619	0.207403659
949	None	Before coming to Takamatsu I found out some wealthy man from an old family in the suburbs had renovated his personal library into a private library open to the public.	  Negative	-1	-0.090909	-0.047619	0.207403659
950	None	"The place has a lot of rare books, and I heard that the building itself and the surrounding garden were worth checking out."	  Very negative	-2	-0.090909	-0.047619	0.207403659
951	None	I saw a photo of the place once in Taiyo magazine.	  Neutral	0	-0.18182	-0.095238	0.159784659
952	None	"It's a large, Japanese-style house with this really elegant reading room that looks more like a parlor, where people are sitting with their books on comfortable-looking sofas."	  Neutral	0	-0.18182	-0.14286	0.112162659
953	None	"For some reason that photo really stayed with me, and I wanted to see this in person if someday the chance came along."	  Very positive	2	-0.27273	-0.14286	0.112162659
954	None	"The Komura Memorial Library, the place was called."	  Neutral	0	-0.18182	-0.19048	0.064542659
955	None	I go over to the tourist information booth at the station and ask how to get there.	  Neutral	0	-0.18182	-0.14286	0.112162659
956	None	A pleasant middle-aged lady marks the spot on a tourist map and gives me instructions on which train to take.	  Neutral	0	0	-0.14286	0.112162659
957	None	"It's about a twenty-minute ride, she explains."	  Neutral	0	0	-0.14286	0.112162659
958	None	I thank her and study the schedule posted inside the station.	  Negative	-1	0	-0.19048	0.064542659
959	None	Trains run about every twenty minutes.	  Neutral	0	-0.27273	-0.14286	0.112162659
960	None	"I have some time, so I pick up a takeout lunch at one of the little shops."	  Negative	-1	-0.18182	-0.095238	0.159784659
961	None	The train is just two little cars coupled together.	  Neutral	0	-0.090909	-0.047619	0.207403659
962	None	"The tracks cut through a highrise shopping district, then past a mix of small shops and houses, factories and warehouses."	  Neutral	0	-0.090909	-0.047619	0.207403659
963	None	Next comes a park and an apartment building under construction.	  Neutral	0	-0.18182	-0.047619	0.207403659
964	None	"I press my face against the window, drinking in the unfamiliar sights."	  Negative	-1	-0.090909	-0.14286	0.112162659
965	None	"I've hardly ever been outside of Tokyo, and everything looks fresh and new."	  Positive	1	-0.090909	-0.14286	0.112162659
966	None	"The train I'm on, going out of town, is nearly empty this time of the morning, but the platforms on the other side are packed with junior and senior high school kids in summer uniforms, schoolbags slung across their shoulders."	  Positive	1	-0.090909	-0.19048	0.064542659
967	None	All heading to school.	  Neutral	0	-0.090909	-0.19048	0.064542659
968	None	"Not me, though."	  Negative	-1	-0.090909	-0.19048	0.064542659
969	None	"I'm alone, going in the opposite direction."	  Neutral	0	-0.090909	-0.19048	0.064542659
970	None	We're on different tracks in more ways than one.	  Neutral	0	0	-0.14286	0.112162659
971	None	All of a sudden the air feels thin and something heavy is bearing down on my chest.	  Negative	-1	-0.18182	-0.047619	0.207403659
972	None	Am I really doing the right thing?	  Neutral	0	-0.27273	-0.047619	0.207403659
973	None	"The thought makes me feel helpless, isolated."	  Neutral	0	-0.27273	-0.047619	0.207403659
974	None	I turn my back on the schoolkids and try not to look at them anymore.	  Neutral	0	-0.27273	-0.095238	0.159784659
975	None	"The train runs along the sea for a time, then cuts inland."	  Neutral	0	-0.18182	-0.095238	0.159784659
